
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:22             0.0.0.0:0              LISTENING       5288
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1692
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       6260
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       6260
  TCP    0.0.0.0:1048           0.0.0.0:0              LISTENING       1292
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3272
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1052
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       12348
  TCP    0.0.0.0:5800           0.0.0.0:0              LISTENING       6300
  TCP    0.0.0.0:5900           0.0.0.0:0              LISTENING       6300
  TCP    0.0.0.0:6000           0.0.0.0:0              LISTENING       6332
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1400
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1216
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2320
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3732
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3948
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       5732
  TCP    0.0.0.0:50080          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:50443          0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:1040         0.0.0.0:0              LISTENING       6140
  TCP    127.0.0.1:1041         0.0.0.0:0              LISTENING       6140
  TCP    127.0.0.1:1784         127.0.0.1:1785         ESTABLISHED     10488
  TCP    127.0.0.1:1785         127.0.0.1:1784         ESTABLISHED     10488
  TCP    127.0.0.1:2267         127.0.0.1:35600        ESTABLISHED     12912
  TCP    127.0.0.1:3986         127.0.0.1:3987         ESTABLISHED     11404
  TCP    127.0.0.1:3987         127.0.0.1:3986         ESTABLISHED     11404
  TCP    127.0.0.1:8475         0.0.0.0:0              LISTENING       19380
  TCP    127.0.0.1:10000        0.0.0.0:0              LISTENING       12648
  TCP    127.0.0.1:14036        0.0.0.0:0              LISTENING       10488
  TCP    127.0.0.1:32768        0.0.0.0:0              LISTENING       11404
  TCP    127.0.0.1:35600        0.0.0.0:0              LISTENING       6368
  TCP    127.0.0.1:35600        127.0.0.1:2267         ESTABLISHED     6368
  TCP    127.0.0.1:50167        0.0.0.0:0              LISTENING       21684
  TCP    172.24.0.1:139         0.0.0.0:0              LISTENING       4
  TCP    172.24.0.1:14036       0.0.0.0:0              LISTENING       10488
  TCP    192.168.10.6:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.10.6:2291      47.114.86.141:443      ESTABLISHED     6140
  TCP    192.168.10.6:2758      146.70.192.242:443     ESTABLISHED     22028
  TCP    192.168.10.6:2843      84.17.44.210:443       ESTABLISHED     22028
  TCP    192.168.10.6:2959      110.242.70.51:80       ESTABLISHED     14952
  TCP    192.168.10.6:2995      193.19.204.51:443      ESTABLISHED     22028
  TCP    192.168.10.6:3033      163.177.18.37:5287     ESTABLISHED     14952
  TCP    192.168.10.6:3083      45.142.215.123:443     ESTABLISHED     22028
  TCP    192.168.10.6:3178      106.55.81.126:443      ESTABLISHED     6368
  TCP    192.168.10.6:3196      163.177.18.37:5287     ESTABLISHED     14952
  TCP    192.168.10.6:5908      20.243.74.193:443      ESTABLISHED     22028
  TCP    192.168.10.6:8220      182.91.251.76:443      ESTABLISHED     22028
  TCP    192.168.10.6:8599      220.197.30.6:443       ESTABLISHED     15824
  TCP    192.168.10.6:8694      124.156.155.216:51413  TIME_WAIT       0
  TCP    192.168.10.6:8696      184.75.221.211:2989    TIME_WAIT       0
  TCP    192.168.10.6:8698      184.75.223.227:39876   TIME_WAIT       0
  TCP    192.168.10.6:8700      185.221.201.77:51413   TIME_WAIT       0
  TCP    192.168.10.6:8772      94.62.217.169:30964    TIME_WAIT       0
  TCP    192.168.10.6:8787      185.51.242.131:13864   TIME_WAIT       0
  TCP    192.168.10.6:8804      31.13.189.249:50941    TIME_WAIT       0
  TCP    192.168.10.6:8825      59.50.241.5:51413      TIME_WAIT       0
  TCP    192.168.10.6:8826      184.75.223.227:39876   TIME_WAIT       0
  TCP    192.168.10.6:8843      14.117.210.80:16881    TIME_WAIT       0
  TCP    192.168.10.6:8848      20.42.65.84:443        ESTABLISHED     12972
  TCP    192.168.10.6:8849      20.42.65.84:443        ESTABLISHED     12972
  TCP    192.168.10.6:8850      20.42.65.84:443        ESTABLISHED     12972
  TCP    192.168.10.6:8852      184.75.223.227:39876   TIME_WAIT       0
  TCP    192.168.10.6:8856      124.156.155.216:51413  TIME_WAIT       0
  TCP    192.168.10.6:8857      185.221.201.77:51413   TIME_WAIT       0
  TCP    192.168.10.6:8882      185.51.242.131:13864   TIME_WAIT       0
  TCP    192.168.10.6:8883      94.62.217.169:30964    TIME_WAIT       0
  TCP    192.168.10.6:8901      184.75.223.227:39876   TIME_WAIT       0
  TCP    192.168.10.6:8904      110.242.69.176:443     ESTABLISHED     14952
  TCP    192.168.10.6:8908      59.50.241.5:51413      TIME_WAIT       0
  TCP    192.168.10.6:8919      142.250.217.106:443    SYN_SENT        19396
  TCP    192.168.10.6:8920      142.250.217.106:443    SYN_SENT        19396
  TCP    192.168.10.6:8921      20.189.173.28:443      ESTABLISHED     9056
  TCP    192.168.10.6:8923      3.235.245.212:55405    SYN_SENT        10488
  TCP    192.168.10.6:8927      194.124.204.71:443     ESTABLISHED     22028
  TCP    192.168.10.6:8928      194.124.204.71:443     ESTABLISHED     22028
  TCP    192.168.10.6:8929      20.189.173.28:443      SYN_SENT        1456
  TCP    192.168.10.6:10660     36.250.241.203:28502   ESTABLISHED     10488
  TCP    192.168.10.6:10661     101.69.214.197:22831   ESTABLISHED     10488
  TCP    192.168.10.6:14036     0.0.0.0:0              LISTENING       10488
  TCP    192.168.91.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.91.1:14036     0.0.0.0:0              LISTENING       10488
  TCP    192.168.221.1:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.221.1:14036    0.0.0.0:0              LISTENING       10488
  TCP    [::]:22                [::]:0                 LISTENING       5288
  TCP    [::]:135               [::]:0                 LISTENING       1692
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1048              [::]:0                 LISTENING       1292
  TCP    [::]:2179              [::]:0                 LISTENING       3272
  TCP    [::]:3389              [::]:0                 LISTENING       1052
  TCP    [::]:6000              [::]:0                 LISTENING       6332
  TCP    [::]:49664             [::]:0                 LISTENING       1400
  TCP    [::]:49665             [::]:0                 LISTENING       1216
  TCP    [::]:49666             [::]:0                 LISTENING       2320
  TCP    [::]:49667             [::]:0                 LISTENING       3732
  TCP    [::]:49668             [::]:0                 LISTENING       3948
  TCP    [::]:49670             [::]:0                 LISTENING       5732
  TCP    [::]:50080             [::]:0                 LISTENING       4
  TCP    [::]:50443             [::]:0                 LISTENING       4
  TCP    [::1]:14036            [::]:0                 LISTENING       10488
  TCP    [2408:8256:88a:b7f3:5b0e:47b2:14e:3d84]:14036  [::]:0                 LISTENING       10488
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2234  [2408:871a:2100:157e:0:ff:b087:b18e]:80  CLOSE_WAIT      19380
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2293  [2603:1040:a03:9::1ab]:443  ESTABLISHED     12972
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2320  [2606:4700:3030::6815:6001]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2366  [2a02:6ea0:3f02::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2367  [2a02:6ea0:e802::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2375  [2a02:6ea0:d909::1]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2385  [2001:ac8:35:13::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2392  [2605:6440:7000:0:66:203:113:67]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2393  [2001:ac8:97:1::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2419  [2001:ac8:8b:11::2]:443  ESTABLISHED     22028
  TCP    [2408:8256:88a:b7f3:5c8a:615f:ac67:abd9]:2438  [2a0d:5600:3:2::2]:443  ESTABLISHED     22028
